Target,Seed,Dataset,Model,Attack,Epsilon,N,Direction
untargeted,58361,Oil,LSTM,BRNV,0.2,5,
untargeted,58361,Oil,LSTM,BRS,0.2,1,
untargeted,58361,Oil,LSTM,FGSM,0.2,1,
untargeted,58361,Oil,LSTM,FULLVITA,0.2,1,
untargeted,58361,Oil,LSTM,NOATTACK,0.2,1,
untargeted,58361,Oil,LSTM,NVITA,0.2,1,
untargeted,58361,Oil,LSTM,NVITA,0.2,3,
untargeted,58361,Oil,LSTM,NVITA,0.2,5,
untargeted,58361,Oil,RF,BRNV,0.15,5,
untargeted,58361,Oil,RF,BRS,0.15,1,
untargeted,58361,Oil,RF,FULLVITA,0.15,1,
untargeted,58361,Oil,RF,NOATTACK,0.15,1,
untargeted,58361,Oil,RF,NVITA,0.15,1,
untargeted,58361,Oil,RF,NVITA,0.15,3,
untargeted,58361,Oil,RF,NVITA,0.15,5,
untargeted,58361,Oil,RF,BRNV,0.2,5,
untargeted,58361,Oil,RF,BRS,0.2,1,
untargeted,58361,Oil,RF,FULLVITA,0.2,1,
untargeted,58361,Oil,RF,NOATTACK,0.2,1,
untargeted,58361,Oil,RF,NVITA,0.2,1,
untargeted,58361,Oil,RF,NVITA,0.2,3,
untargeted,58361,Oil,RF,NVITA,0.2,5,
untargeted,789789,Oil,CNN,BIM,0.2,1,
untargeted,789789,Oil,CNN,BRNV,0.2,5,
untargeted,789789,Oil,CNN,BRS,0.2,1,
untargeted,789789,Oil,CNN,FGSM,0.2,1,
untargeted,789789,Oil,CNN,FULLVITA,0.2,1,
untargeted,789789,Oil,CNN,NOATTACK,0.2,1,
untargeted,789789,Oil,CNN,NVITA,0.2,1,
untargeted,789789,Oil,CNN,NVITA,0.2,3,
untargeted,789789,Oil,CNN,NVITA,0.2,5,
untargeted,789789,Oil,GRU,BRNV,0.15,5,
untargeted,789789,Oil,GRU,NVITA,0.15,3,
untargeted,789789,Oil,GRU,NVITA,0.15,5,
untargeted,789789,Oil,GRU,BIM,0.2,1,
untargeted,789789,Oil,GRU,BRNV,0.2,5,
