Seed,Target,Dataset,Model,Epsilon,Attack,Path
2210,untargeted,Electricity,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_2210/df_Electricity/df_Electricity_seed_2210_model_CNN_epsilon_0.05_attack_FULLVITA.csv
2210,untargeted,CNYExch,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_2210/df_CNYExch/df_CNYExch_seed_2210_model_CNN_epsilon_0.05_attack_FULLVITA.csv
2210,untargeted,Oil,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_2210/df_Oil/df_Oil_seed_2210_model_CNN_epsilon_0.05_attack_FULLVITA.csv
2210,untargeted,Oil,GRU,0.15,Non_Targeted_5VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_2210/df_Oil/df_Oil_seed_2210_model_GRU_epsilon_0.15_attack_Non_Targeted_5VITA.csv
2210,untargeted,NZTemp,LSTM,0.15,Non_Targeted_5VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_2210/df_NZTemp/df_NZTemp_seed_2210_model_LSTM_epsilon_0.15_attack_Non_Targeted_5VITA.csv
58361,targeted,Oil,CNN,0.05,BRS_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_Oil/df_Oil_seed_58361_model_CNN_epsilon_0.05_attack_BRS_target_Positive.csv
58361,targeted,NZTemp,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_NZTemp/df_NZTemp_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
58361,targeted,Electricity,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_Electricity/df_Electricity_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
58361,targeted,CNYExch,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_CNYExch/df_CNYExch_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
58361,targeted,Electricity,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_Electricity/df_Electricity_seed_58361_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
58361,targeted,CNYExch,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_CNYExch/df_CNYExch_seed_58361_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
58361,targeted,Oil,CNN,0.05,Targeted_1VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_Oil/df_Oil_seed_58361_model_CNN_epsilon_0.05_attack_Targeted_1VITA_target_Positive.csv
58361,targeted,NZTemp,GRU,0.1,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_NZTemp/df_NZTemp_seed_58361_model_GRU_epsilon_0.1_attack_FULLVITA_target_Positive.csv
58361,targeted,Electricity,GRU,0.2,Targeted_5VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_58361/df_Electricity/df_Electricity_seed_58361_model_GRU_epsilon_0.2_attack_Targeted_5VITA_target_Positive.csv
58361,untargeted,CNYExch,CNN,0.05,BIM,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_CNYExch/df_CNYExch_seed_58361_model_CNN_epsilon_0.05_attack_BIM.csv
58361,untargeted,NZTemp,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_NZTemp/df_NZTemp_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA.csv
58361,untargeted,CNYExch,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_CNYExch/df_CNYExch_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA.csv
58361,untargeted,Oil,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_Oil/df_Oil_seed_58361_model_CNN_epsilon_0.05_attack_FULLVITA.csv
58361,untargeted,Electricity,CNN,0.05,Non_Targeted_1VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_Electricity/df_Electricity_seed_58361_model_CNN_epsilon_0.05_attack_Non_Targeted_1VITA.csv
58361,untargeted,Oil,GRU,0.15,Non_Targeted_5VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_Oil/df_Oil_seed_58361_model_GRU_epsilon_0.15_attack_Non_Targeted_5VITA.csv
58361,untargeted,NZTemp,LSTM,0.15,Non_Targeted_5VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_NZTemp/df_NZTemp_seed_58361_model_LSTM_epsilon_0.15_attack_Non_Targeted_5VITA.csv
58361,untargeted,CNYExch,RF,0.2,Non_Targeted_1VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_58361/df_CNYExch/df_CNYExch_seed_58361_model_RF_epsilon_0.2_attack_Non_Targeted_1VITA.csv
789789,targeted,NZTemp,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_NZTemp/df_NZTemp_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
789789,targeted,Electricity,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_Electricity/df_Electricity_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
789789,targeted,CNYExch,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_CNYExch/df_CNYExch_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
789789,targeted,Electricity,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_Electricity/df_Electricity_seed_789789_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
789789,targeted,CNYExch,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_CNYExch/df_CNYExch_seed_789789_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
789789,targeted,Oil,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_Oil/df_Oil_seed_789789_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
789789,targeted,Oil,CNN,0.05,Targeted_1VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_Oil/df_Oil_seed_789789_model_CNN_epsilon_0.05_attack_Targeted_1VITA_target_Positive.csv
789789,targeted,NZTemp,GRU,0.1,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_NZTemp/df_NZTemp_seed_789789_model_GRU_epsilon_0.1_attack_FULLVITA_target_Positive.csv
789789,targeted,Electricity,GRU,0.2,Targeted_1VITA_target_Negative,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_789789/df_Electricity/df_Electricity_seed_789789_model_GRU_epsilon_0.2_attack_Targeted_1VITA_target_Negative.csv
789789,untargeted,NZTemp,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_NZTemp/df_NZTemp_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA.csv
789789,untargeted,Electricity,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_Electricity/df_Electricity_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA.csv
789789,untargeted,CNYExch,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_CNYExch/df_CNYExch_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA.csv
789789,untargeted,Oil,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_Oil/df_Oil_seed_789789_model_CNN_epsilon_0.05_attack_FULLVITA.csv
789789,untargeted,Oil,GRU,0.15,Non_Targeted_3VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_Oil/df_Oil_seed_789789_model_GRU_epsilon_0.15_attack_Non_Targeted_3VITA.csv
789789,untargeted,NZTemp,LSTM,0.15,Non_Targeted_5VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_789789/df_NZTemp/df_NZTemp_seed_789789_model_LSTM_epsilon_0.15_attack_Non_Targeted_5VITA.csv
9999,targeted,NZTemp,CNN,0.05,BRS_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_NZTemp/df_NZTemp_seed_9999_model_CNN_epsilon_0.05_attack_BRS_target_Positive.csv
9999,targeted,NZTemp,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_NZTemp/df_NZTemp_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
9999,targeted,Electricity,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_Electricity/df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
9999,targeted,CNYExch,CNN,0.05,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_CNYExch/df_CNYExch_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA_target_Positive.csv
9999,targeted,Electricity,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_Electricity/df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
9999,targeted,CNYExch,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_CNYExch/df_CNYExch_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
9999,targeted,Oil,CNN,0.05,NOATTACK_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_Oil/df_Oil_seed_9999_model_CNN_epsilon_0.05_attack_NOATTACK_target_Positive.csv
9999,targeted,Oil,CNN,0.05,Targeted_1VITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_Oil/df_Oil_seed_9999_model_CNN_epsilon_0.05_attack_Targeted_1VITA_target_Positive.csv
9999,targeted,NZTemp,GRU,0.1,FULLVITA_target_Positive,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_NZTemp/df_NZTemp_seed_9999_model_GRU_epsilon_0.1_attack_FULLVITA_target_Positive.csv
9999,targeted,Electricity,GRU,0.2,Targeted_1VITA_target_Negative,/home/lukec/workspace/nvita/results/targeted_results/exp_seed_9999/df_Electricity/df_Electricity_seed_9999_model_GRU_epsilon_0.2_attack_Targeted_1VITA_target_Negative.csv
9999,untargeted,CNYExch,CNN,0.05,BIM1,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_CNYExch/df_CNYExch_seed_9999_model_CNN_epsilon_0.05_attack_BIM1.csv
9999,untargeted,NZTemp,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_NZTemp/df_NZTemp_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA.csv
9999,untargeted,Electricity,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_Electricity/df_Electricity_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA.csv
9999,untargeted,CNYExch,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_CNYExch/df_CNYExch_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA.csv
9999,untargeted,Oil,CNN,0.05,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_Oil/df_Oil_seed_9999_model_CNN_epsilon_0.05_attack_FULLVITA.csv
9999,untargeted,NZTemp,GRU,0.15,FULLVITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_NZTemp/df_NZTemp_seed_9999_model_GRU_epsilon_0.15_attack_FULLVITA.csv
9999,untargeted,Oil,GRU,0.15,Non_Targeted_3VITA,/home/lukec/workspace/nvita/results/non_targeted_results/exp_seed_9999/df_Oil/df_Oil_seed_9999_model_GRU_epsilon_0.15_attack_Non_Targeted_3VITA.csv
