df,Seed,Model,Epsilon,Targeted,Attack Name,True y,Original y Pred,Attacked AE,Original AE,Max Per,Sum Per,Cost Time,Window Range,Adv Example,
Electricity,2210,RF,0.1,True,Non-targeted1VITA,0.6725835204124451,0.6442967749834061,0.05180744189023967,0.028286745429038973,0.0007838010787963867,0.0007838010787963867,5.14900279045105,[0.04901205003261566; 0.08901553601026535; 0.4500024914741516],[[[0.6418231129646301; 0.12937945127487183; 0.30765989422798157]; [0.6780133247375488; 0.13347816467285156; 0.4449610114097595]; [0.6784095764160156; 0.0532517172396183; 0.6704714298248291]; [0.690835177898407; 0.04446263238787651; 0.7576624155044556]]],
Electricity,2210,RF,0.1,True,Non-targeted1VITA,0.9103538393974304,0.8885605490803719,0.44414853873848914,0.021793290317058567,0.04382401704788208,0.04382401704788208,4.6372950077056885,[0.44276919960975647; 0.14444103837013245; 0.02130110375583172],[[[0.9424374103546143; 0.06804738193750381; 0.042364321649074554]; [0.9159548878669739; 0.03913185000419617; 0.021063219755887985]; [0.6870099902153015; 0.1835728883743286; 0.032823897898197174]; [0.4996682405471802; 0.12832427024841309; 0.040081463754177094]]],
Electricity,2210,RF,0.1,True,Non-targeted1VITA,0.24582427740097046,0.27225159871578214,0.10485054180026054,0.02642732131481168,0.02176034450531006,0.02176034450531006,2.5267717838287354,[0.29896682500839233; 0.2935175597667694; 0.155409574508667],[[[0.6672875285148621; 0.4920886158943176; 0.3757491409778595]; [0.6481133103370667; 0.3925713002681732; 0.4112022817134857]; [0.6492853760719299; 0.6223219633102417; 0.3356468081474304]; [0.3900810480117798; 0.3288044035434723; 0.2557927072048187]]],
Electricity,2210,RF,0.1,True,Non-targeted1VITA,0.8914821147918701,0.8798692829608917,0.050278903603553804,0.011612831830978387,0.04434126615524292,0.04434126615524292,6.401378154754639,[0.4450129568576813; 0.3348195254802704; 0.010767407715320587],[[[0.5957567095756531; 0.4335622191429138; 0.1821194291114807]; [0.4503851532936096; 0.5083969235420227; 0.1761055439710617]; [0.8661757111549377; 0.17357736825942993; 0.17135201394557953]; [0.9397393465042114; 0.27088305354118347; 0.17600120604038239]]],
Electricity,2210,RF,0.1,True,Non-targeted1VITA,0.85721355676651,0.690663765668869,0.17248520970344539,0.166549791097641,0.0015970468521118164,0.0015970468521118164,3.167387008666992,[0.021519480273127556; 0.38747474551200867; 0.08698228746652603],[[[0.8599241375923157; 0.7205108404159546; 0.041571374982595444]; [0.8798465728759766; 0.48328855633735657; 0.0511702261865139]; [0.876378059387207; 0.4116901457309723; 0.03860407695174217]; [0.8663406372070312; 0.3330360949039459; 0.1255863606929779]]],
