Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
18.598,13.212,12.217,18.209,15.941,18.598,17.173,18.598,15.941
17.266000000000002,12.005999999999998,10.257,16.27,14.567,17.266000000000002,15.582,17.266000000000002,14.567
16.119999999999994,10.607,7.497999999999999,14.362,13.231,16.119999999999994,14.179,16.119999999999994,13.231
14.114999999999998,8.7,4.295,11.725,11.308,14.114999999999998,12.005,14.114999999999998,11.308
12.433,6.777,1.524,9.607,9.511,12.433,10.21,12.433,9.511
11.502,5.455,0.213,8.655,8.347000000000001,11.502,9.366,11.502,8.347000000000001
11.05,6.335,2.347,8.836,8.607999999999999,11.05,9.282,11.05,8.607999999999999
11.289,6.768,4.1530000000000005,9.819,9.046,11.289,9.898,11.289,9.046
14.064,10.845999999999998,9.555,13.392,12.612,14.064,13.0,14.064,12.612
14.775,10.877,10.02,14.293,12.944,14.775,13.784,14.775,12.944
16.342,12.24,11.608,16.108999999999998,14.385,16.342,15.359000000000002,16.342,14.385
18.466,13.033,12.228,18.268,15.827,18.466,17.298,18.466,15.827
18.78,12.761,11.633,18.329,15.783,18.78,17.301,18.78,15.783
17.616,12.27,10.538,16.677,14.836,17.616,15.736999999999998,17.616,14.836
16.724999999999998,10.769,7.577999999999999,14.954,13.575,16.724999999999998,14.578,16.724999999999998,13.575
14.618,9.107,4.683,12.269,11.764,14.618,12.47,14.618,11.764
12.964,7.286,2.039,10.152,10.025,12.964,10.739,12.964,10.025
11.446,5.199999999999998,-0.0699999999999998,8.530999999999999,8.17,11.446,9.253,11.446,8.17
10.816,5.659,1.57,8.495,8.145,10.816,9.082999999999998,10.816,8.145
11.656,6.657,3.947,10.094,9.165,11.656,10.265999999999998,11.656,9.165
13.219,8.894,7.382999999999999,12.340000000000002,11.161,13.219,12.055,13.219,11.161
15.604,11.023,9.981,15.111,13.415,15.604,14.519,15.604,13.415
18.313,13.393,12.515,18.135,15.94,18.313,17.151,18.313,15.94
