new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,population,gdp_per_capita
48966.0,890.0,7830.0,26407.0,1203312.0,0.0,62.5,336997624.0,54225.446
47021.0,915.0,7813.0,26275.0,1130713.0,0.0,62.5,336997624.0,54225.446
43440.0,762.0,7796.0,25904.0,939658.0,0.0,62.5,336997624.0,54225.446
33695.0,304.0,8067.0,25970.0,597705.0,0.0,62.5,336997624.0,54225.446
38069.0,340.0,7915.0,27021.0,668427.0,0.0,62.5,336997624.0,54225.446
42286.0,894.0,8044.0,27507.0,985225.0,0.0,62.5,336997624.0,54225.446
38891.0,904.0,8070.0,27669.0,1201679.0,0.0,62.5,336997624.0,54225.446
46383.0,896.0,8005.0,27478.0,1225444.0,0.0,62.5,336997624.0,54225.446
53529.0,837.0,7957.0,27407.0,1192888.0,0.0,62.5,336997624.0,54225.446
49325.0,672.0,7964.0,27271.0,976617.0,0.0,62.5,336997624.0,54225.446
33341.0,369.0,8119.0,27871.0,641516.0,0.0,62.5,336997624.0,54225.446
37987.0,475.0,8332.0,28956.0,807970.0,0.0,62.5,336997624.0,54225.446
44967.0,687.0,8571.0,30005.0,1228214.0,0.0,62.5,336997624.0,54225.446
49538.0,907.0,8638.0,30543.0,1414298.0,0.0,62.5,336997624.0,54225.446
58208.0,973.0,8624.0,31015.0,1435087.0,0.0,62.5,336997624.0,54225.446
55336.0,962.0,8723.0,31207.0,1402552.0,0.0,62.5,336997624.0,54225.446
55187.0,649.0,8731.0,30981.0,1106671.0,0.0,62.5,336997624.0,54225.446
46818.0,463.0,8819.0,31435.0,748144.0,0.0,62.5,336997624.0,54225.446
42972.0,395.0,9047.0,32759.0,811109.0,0.0,62.5,336997624.0,54225.446
50604.0,740.0,9412.0,33504.0,1065918.0,0.0,66.2,336997624.0,54225.446
59102.0,989.0,9303.0,33936.0,1232849.0,0.0,66.2,336997624.0,54225.446
63812.0,838.0,9478.0,34388.0,1306768.0,0.0,66.2,336997624.0,54225.446
70304.0,933.0,9538.0,34641.0,1332014.0,0.0,66.2,336997624.0,54225.446
54785.0,790.0,9516.0,34322.0,1120938.0,0.0,66.2,336997624.0,54225.446
52251.0,482.0,9725.0,35015.0,771165.0,0.0,66.2,336997624.0,54225.446
68775.0,511.0,10075.0,36432.0,876329.0,0.0,66.2,336997624.0,54225.446
62494.0,951.0,10214.0,37411.0,1278223.0,0.0,66.2,336997624.0,54225.446
61311.0,1166.0,10453.0,38149.0,1480937.0,0.0,66.2,336997624.0,54225.446
80171.0,861.0,10648.0,38849.0,1533814.0,0.0,66.2,336997624.0,54225.446
82109.0,957.0,10712.0,39080.0,1466797.0,0.0,66.2,336997624.0,54225.446
78007.0,972.0,10711.0,39341.0,1180398.0,0.0,66.2,336997624.0,54225.446
60340.0,451.0,10853.0,39986.0,794272.0,0.0,66.2,336997624.0,54225.446
64555.0,555.0,11111.0,41342.0,955237.0,0.0,62.5,336997624.0,54225.446
78887.0,1022.0,11431.0,42272.0,1341009.0,0.0,62.5,336997624.0,54225.446
88381.0,1041.0,11660.0,43481.0,1504915.0,0.0,62.5,336997624.0,54225.446
92713.0,998.0,11824.0,44162.0,1486820.0,0.0,62.5,336997624.0,54225.446
100506.0,1072.0,11851.0,45072.0,1502418.0,0.0,62.5,336997624.0,54225.446
86707.0,939.0,11884.0,45049.0,1220825.0,0.0,62.5,336997624.0,54225.446
78092.0,508.0,12128.0,46056.0,899934.0,0.0,62.5,336997624.0,54225.446
84013.0,597.0,12591.0,47938.0,1017282.0,0.0,62.5,336997624.0,54225.446
126832.0,1625.0,12925.0,49074.0,1365330.0,0.0,62.5,336997624.0,54225.446
102080.0,1117.0,13002.0,50468.0,1633334.0,0.0,62.5,336997624.0,54225.446
130015.0,1193.0,13228.0,51790.0,1696886.0,0.0,62.5,336997624.0,54225.446
129122.0,1221.0,13357.0,52843.0,1678233.0,0.0,62.5,336997624.0,54225.446
127223.0,1125.0,13479.0,53822.0,1456573.0,0.0,62.5,336997624.0,54225.446
119363.0,575.0,14008.0,55716.0,1011561.0,0.0,62.5,336997624.0,54225.446
119587.0,801.0,14409.0,58475.0,1224579.0,0.0,65.28,336997624.0,54225.446
139406.0,1439.0,14835.0,61421.0,1539654.0,0.0,65.28,336997624.0,54225.446
149685.0,1463.0,15115.0,63328.0,1792000.0,0.0,65.28,336997624.0,54225.446
159772.0,1243.0,15592.0,65204.0,1854418.0,0.0,65.28,336997624.0,54225.446
178977.0,1227.0,15863.0,66115.0,1905446.0,0.0,65.28,336997624.0,54225.446
162743.0,1367.0,16238.0,67220.0,1598977.0,0.0,65.28,336997624.0,54225.446
138447.0,788.0,16808.0,69518.0,1197843.0,0.0,65.28,336997624.0,54225.446
156131.0,877.0,17538.0,73100.0,1492734.0,0.0,75.46,336997624.0,54225.446
167247.0,1744.0,18088.0,75499.0,1906033.0,0.0,75.46,336997624.0,54225.446
173391.0,1936.0,18331.0,77320.0,2099920.0,0.0,75.46,336997624.0,54225.446
191844.0,2015.0,18742.0,78344.0,2077284.0,0.0,75.46,336997624.0,54225.446
201290.0,1973.0,18916.0,79739.0,2151567.0,0.0,75.46,336997624.0,54225.446
177360.0,1630.0,19091.0,79864.0,1857757.0,0.0,75.46,336997624.0,54225.446
145234.0,1074.0,19658.0,81798.0,1422833.0,0.0,75.46,336997624.0,54225.446
184620.0,1140.0,20176.0,84179.0,1674215.0,0.0,75.46,336997624.0,54225.446
174842.0,2184.0,20572.0,86042.0,1972982.0,0.0,75.46,336997624.0,54225.446
181303.0,2260.0,20831.0,87127.0,2226171.0,0.0,75.46,336997624.0,54225.446
112773.0,1390.0,21025.0,86555.0,1506621.0,0.0,75.46,336997624.0,54225.446
215054.0,1619.0,21327.0,88105.0,1512764.0,0.0,75.46,336997624.0,54225.446
167185.0,1407.0,21483.0,89606.0,1348743.0,0.0,75.46,336997624.0,54225.446
139528.0,1047.0,21919.0,92453.0,1152025.0,0.0,75.46,336997624.0,54225.446
158810.0,1375.0,22500.0,95096.0,1465722.0,0.0,75.46,336997624.0,54225.446
198704.0,2558.0,22868.0,96674.0,1844345.0,0.0,75.46,336997624.0,54225.446
197089.0,2780.0,22962.0,97842.0,2099739.0,0.0,71.76,336997624.0,54225.446
219426.0,2911.0,23043.0,97853.0,2148710.0,0.0,71.76,336997624.0,54225.446
235194.0,2667.0,23123.0,98143.0,2119093.0,0.0,71.76,336997624.0,54225.446
219719.0,2401.0,23172.0,97247.0,1692329.0,0.0,71.76,336997624.0,54225.446
178136.0,1417.0,23435.0,98654.0,1293215.0,0.0,71.76,336997624.0,54225.446
196567.0,1641.0,23892.0,101028.0,1541115.0,0.0,71.76,336997624.0,54225.446
227453.0,2602.0,24197.0,102304.0,1916125.0,0.0,71.76,336997624.0,54225.446
215844.0,2951.0,24612.0,104371.0,2125501.0,0.0,71.76,336997624.0,54225.446
235712.0,2914.0,24636.0,105048.0,2182843.0,0.0,71.76,336997624.0,54225.446
236994.0,3334.0,24747.0,105653.0,2057581.0,0.0,71.76,336997624.0,54225.446
222535.0,2506.0,24634.0,105358.0,1723193.0,0.0,71.76,336997624.0,54225.446
190667.0,1595.0,25074.0,107402.0,1249594.0,0.0,71.76,336997624.0,54225.446
210469.0,1695.0,25560.0,109689.0,1495092.0,4747.0,71.76,336997624.0,54225.446
227236.0,2906.0,25812.0,110996.0,1946701.0,47635.0,71.76,336997624.0,54225.446
234250.0,3685.0,25972.0,111997.0,2078178.0,159648.0,71.76,336997624.0,54225.446
239195.0,3418.0,25894.0,112445.0,2053475.0,274393.0,71.76,336997624.0,54225.446
246575.0,2929.0,25950.0,112114.0,2022937.0,419720.0,71.76,336997624.0,54225.446
204850.0,2737.0,25801.0,111037.0,1712286.0,183530.0,71.76,336997624.0,54225.446
186226.0,1695.0,26057.0,112401.0,1277375.0,106713.0,71.76,336997624.0,54225.446
197603.0,1826.0,26431.0,114649.0,1529579.0,386219.0,71.76,336997624.0,54225.446
205785.0,3333.0,26730.0,117528.0,1988864.0,450526.0,71.76,336997624.0,54225.446
220839.0,3314.0,26928.0,118106.0,2281252.0,576350.0,71.76,336997624.0,54225.446
211533.0,2859.0,26714.0,116274.0,1892296.0,197302.0,71.76,336997624.0,54225.446
125351.0,1498.0,26559.0,113496.0,1078263.0,12737.0,71.76,336997624.0,54225.446
217993.0,1912.0,26734.0,115521.0,994670.0,142390.0,71.76,336997624.0,54225.446
136279.0,1430.0,27063.0,118988.0,950263.0,96265.0,71.76,336997624.0,54225.446
174860.0,1898.0,27519.0,121425.0,1310231.0,595371.0,71.76,336997624.0,54225.446
206709.0,3577.0,27782.0,122665.0,1887954.0,726471.0,71.76,336997624.0,54225.446
218845.0,3856.0,27697.0,123922.0,2193039.0,846643.0,71.76,336997624.0,54225.446
313914.0,3250.0,27748.0,123347.0,1925018.0,424137.0,71.76,336997624.0,54225.446
177209.0,2203.0,27471.0,121053.0,1256463.0,124870.0,71.76,336997624.0,54225.446
272440.0,2520.0,27614.0,122668.0,1119070.0,266038.0,71.76,336997624.0,54225.446
203228.0,1422.0,28006.0,125595.0,1052326.0,140220.0,71.76,336997624.0,54225.446
186977.0,2012.0,28266.0,127427.0,1409827.0,662965.0,71.76,336997624.0,54225.446
232162.0,3572.0,28528.0,128859.0,1974693.0,838132.0,71.76,336997624.0,54225.446
259836.0,3873.0,28608.0,129800.0,2340145.0,1027537.0,71.76,336997624.0,54225.446
285049.0,3998.0,28491.0,128814.0,2262956.0,1174427.0,71.76,336997624.0,54225.446
303002.0,4154.0,28365.0,127888.0,2153279.0,1241454.0,71.76,336997624.0,54225.446
263443.0,3202.0,28187.0,126420.0,1720578.0,511349.0,71.76,336997624.0,54225.446
209833.0,2090.0,28370.0,126533.0,1170635.0,253047.0,71.76,336997624.0,54225.446
204760.0,1857.0,28739.0,127641.0,1532022.0,1075645.0,71.76,336997624.0,54225.446
222369.0,4374.0,28891.0,127090.0,2038465.0,1264562.0,71.76,336997624.0,54225.446
228724.0,3988.0,28727.0,126556.0,2119448.0,1331286.0,71.76,336997624.0,54225.446
235033.0,3777.0,28527.0,133263.0,2091637.0,1323075.0,71.76,336997624.0,54225.446
244236.0,3815.0,28422.0,123785.0,2051185.0,1264355.0,71.76,336997624.0,54225.446
216996.0,3552.0,28120.0,121134.0,1598624.0,651163.0,71.76,336997624.0,54225.446
176149.0,1980.0,27891.0,120830.0,1077937.0,306784.0,71.76,336997624.0,54225.446
141353.0,1579.0,27831.0,120422.0,1296443.0,893191.0,71.76,336997624.0,54225.446
157019.0,2404.0,27584.0,119384.0,1818812.0,1355483.0,71.76,336997624.0,54225.446
187682.0,4395.0,26998.0,117115.0,2144966.0,1613253.0,71.76,336997624.0,54225.446
192167.0,4100.0,26517.0,114097.0,2069101.0,1640432.0,71.76,336997624.0,54225.446
191364.0,3777.0,26006.0,111831.0,1939367.0,1642902.0,71.76,336997624.0,54225.446
177256.0,3524.0,25364.0,108122.0,1555838.0,909868.0,71.76,336997624.0,54225.446
139790.0,1826.0,25121.0,107004.0,1009167.0,402438.0,71.76,336997624.0,54225.446
130043.0,1781.0,25003.0,106268.0,1243609.0,1379447.0,71.76,336997624.0,54225.446
151319.0,3980.0,24897.0,104627.0,1795052.0,1668840.0,71.76,336997624.0,54225.446
155204.0,4065.0,24353.0,102636.0,2078955.0,1937367.0,71.76,336997624.0,54225.446
166771.0,3805.0,23786.0,100050.0,1920156.0,1967159.0,71.76,336997624.0,54225.446
163314.0,3564.0,23121.0,96109.0,1857729.0,1921305.0,71.76,336997624.0,54225.446
150362.0,2856.0,22708.0,92546.0,1448747.0,1020552.0,71.76,336997624.0,54225.446
112557.0,1931.0,22503.0,91436.0,952131.0,460251.0,71.76,336997624.0,54225.446
125894.0,1779.0,22230.0,90582.0,1038973.0,1405250.0,71.76,336997624.0,54225.446
117510.0,3536.0,21767.0,89004.0,1641847.0,1703958.0,71.76,336997624.0,54225.446
124473.0,3866.0,21404.0,87275.0,1880127.0,2146648.0,68.06,336997624.0,54225.446
124681.0,3885.0,20872.0,84602.0,1940461.0,2352558.0,68.06,336997624.0,54225.446
130422.0,3663.0,20354.0,82137.0,1840036.0,2365349.0,68.06,336997624.0,54225.446
116229.0,2726.0,19863.0,79111.0,1339279.0,1304768.0,68.06,336997624.0,54225.446
89163.0,1461.0,19377.0,77864.0,832015.0,445866.0,68.06,336997624.0,54225.446
83219.0,1450.0,19328.0,76870.0,1050833.0,1585549.0,68.06,336997624.0,54225.446
95715.0,3034.0,18929.0,75626.0,1702272.0,1979834.0,68.06,336997624.0,54225.446
95714.0,3362.0,18313.0,72845.0,1650095.0,2314596.0,68.06,336997624.0,54225.446
106182.0,3161.0,17714.0,70107.0,1425452.0,2415697.0,68.06,336997624.0,54225.446
99569.0,2842.0,17334.0,67536.0,1420178.0,2596422.0,68.06,336997624.0,54225.446
90327.0,2251.0,16865.0,64759.0,1105793.0,1479731.0,68.06,336997624.0,54225.446
68200.0,1151.0,16350.0,63297.0,666277.0,593653.0,68.06,336997624.0,54225.446
56174.0,947.0,16227.0,62214.0,804406.0,1184580.0,68.06,336997624.0,54225.446
59833.0,1643.0,15921.0,61504.0,1257842.0,1627576.0,68.06,336997624.0,54225.446
69005.0,2407.0,15579.0,62245.0,1478588.0,1975113.0,68.06,336997624.0,54225.446
72259.0,2558.0,15024.0,58308.0,1421213.0,1866821.0,68.06,336997624.0,54225.446
74881.0,2514.0,14492.0,56738.0,1360559.0,1972924.0,68.06,336997624.0,54225.446
73475.0,1913.0,14109.0,54401.0,1062088.0,1311461.0,68.06,336997624.0,54225.446
55285.0,1209.0,13724.0,53614.0,685939.0,599725.0,68.06,336997624.0,54225.446
56081.0,1210.0,13671.0,53026.0,1046296.0,1469182.0,68.06,336997624.0,54225.446
73840.0,2260.0,13354.0,51984.0,1652105.0,1946265.0,68.06,336997624.0,54225.446
75018.0,3217.0,12891.0,50956.0,1698083.0,2534601.0,68.06,336997624.0,54225.446
77082.0,2414.0,12464.0,49045.0,1619506.0,2944329.0,68.06,336997624.0,54225.446
74945.0,2131.0,12165.0,47227.0,1484532.0,3121064.0,68.06,336997624.0,54225.446
70811.0,1513.0,11716.0,45334.0,1079056.0,1997990.0,68.06,336997624.0,54225.446
51651.0,1086.0,11552.0,44872.0,636377.0,857904.0,68.06,336997624.0,54225.446
50158.0,1317.0,11362.0,43721.0,1001190.0,2083895.0,68.06,336997624.0,54225.446
58672.0,1914.0,11040.0,42650.0,1619773.0,2473845.0,68.06,336997624.0,54225.446
67089.0,2524.0,10744.0,42153.0,1747119.0,2915726.0,68.06,336997624.0,54225.446
68480.0,1925.0,10556.0,40175.0,1561736.0,3211440.0,64.35,336997624.0,54225.446
67209.0,1715.0,10323.0,39581.0,1439062.0,3243012.0,64.35,336997624.0,54225.446
60742.0,1520.0,10029.0,38206.0,1069884.0,2069710.0,64.35,336997624.0,54225.446
41541.0,701.0,9848.0,37769.0,612397.0,933810.0,64.35,336997624.0,54225.446
44805.0,717.0,9790.0,37687.0,983512.0,2174947.0,64.35,336997624.0,54225.446
55825.0,1761.0,9612.0,37040.0,1548198.0,2722187.0,64.35,336997624.0,54225.446
57717.0,1537.0,9455.0,36661.0,1623947.0,3145989.0,64.35,336997624.0,54225.446
61767.0,1542.0,9242.0,35914.0,1507440.0,3468234.0,64.35,336997624.0,54225.446
62270.0,1422.0,9120.0,35647.0,1405092.0,3450875.0,64.35,336997624.0,54225.446
56272.0,968.0,8907.0,34983.0,1028405.0,2197712.0,64.35,336997624.0,54225.446
38562.0,515.0,8775.0,34412.0,580891.0,985606.0,64.35,336997624.0,54225.446
51570.0,705.0,8787.0,34701.0,954448.0,2283139.0,64.35,336997624.0,54225.446
55075.0,1253.0,8736.0,34577.0,1505118.0,2892535.0,64.35,336997624.0,54225.446
59883.0,1195.0,8682.0,34595.0,1623642.0,3171749.0,64.35,336997624.0,54225.446
62204.0,1631.0,8521.0,34104.0,1480244.0,3401692.0,64.35,336997624.0,54225.446
60917.0,1023.0,8422.0,34035.0,1349255.0,3321454.0,64.35,336997624.0,54225.446
58246.0,771.0,8241.0,33214.0,991729.0,2164011.0,64.35,336997624.0,54225.446
35408.0,707.0,8127.0,33283.0,615497.0,1025980.0,64.35,336997624.0,54225.446
48435.0,554.0,8347.0,33742.0,979485.0,2355608.0,64.35,336997624.0,54225.446
52765.0,945.0,8379.0,33996.0,1535947.0,3057867.0,58.8,336997624.0,54225.446
87835.0,1462.0,8488.0,34367.0,1663481.0,3552468.0,58.8,336997624.0,54225.446
67394.0,1345.0,8338.0,34362.0,1452746.0,3822941.0,58.8,336997624.0,54225.446
76143.0,1156.0,8329.0,34634.0,1378836.0,3812373.0,58.8,336997624.0,54225.446
63777.0,805.0,8201.0,33946.0,1001041.0,2476610.0,58.8,336997624.0,54225.446
46372.0,442.0,8359.0,34464.0,624619.0,1211700.0,58.8,336997624.0,54225.446
66675.0,636.0,8439.0,35027.0,1012298.0,2835078.0,55.51,336997624.0,54225.446
62233.0,892.0,8572.0,35418.0,1536744.0,3588947.0,55.5,336997624.0,54225.446
69410.0,1071.0,8502.0,35567.0,1585780.0,4171747.0,55.48,336997624.0,54225.446
76850.0,1100.0,8470.0,35571.0,1447288.0,4567102.0,55.46,336997624.0,54225.446
