Consumption,Wind,Solar
948.128,227.4650000000001,6.587
1269.581,207.32700000000003,6.574000000000001
1334.745,473.4679999999999,24.679
1347.1359999999995,499.804,14.681
1376.658,523.851,5.071
1291.215,286.26500000000004,13.159999999999998
1175.6879999999996,368.288,4.115
1103.3830000000005,220.851,8.440000000000001
1443.3709999999996,151.83700000000002,5.263999999999999
1434.631,175.99499999999998,17.827
1449.768,197.434,10.849
1442.4480000000003,446.327,18.023
1403.402,415.1060000000001,18.778
1203.1650000000002,174.69000000000003,26.772
1150.9199999999998,34.468,36.609
1487.7820000000002,52.34499999999999,39.682
1518.0740000000003,76.42999999999999,31.036
1498.8090000000004,225.266,40.924
1470.066,282.584,3.885
1448.554,245.75400000000005,15.022000000000002
1242.3069999999998,344.898,3.191
1120.283,418.173,8.993
1454.4699999999998,115.608,11.676
1493.9540000000002,32.889,14.717999999999998
1498.37,48.45099999999999,27.116
1483.5859999999996,203.96499999999995,39.336
1458.9670000000003,90.621,12.284
1256.093,27.172,9.698
1149.243,78.80699999999999,9.114
1454.1700000000003,185.983,21.558
1485.711,208.673,32.078
1511.866,199.607,43.502
1563.4069999999997,73.46900000000001,44.67499999999999
1563.631,36.352,46.51
1372.6140000000005,20.551,45.225
1279.432,55.52199999999999,54.572
1574.766,34.896,55.389
1615.0779999999995,100.312,19.867
1613.774,93.76300000000002,36.93
1591.5319999999997,132.219,19.042
1581.287,52.12200000000001,34.873
1377.404,32.375,44.629000000000005
1264.254,62.65899999999999,45.176
1561.987,25.984,11.287
1550.3660000000002,146.495,9.61
1476.0369999999998,413.367,18.877
1504.119,130.247,38.176
1438.8569999999995,196.515,17.328000000000003
1236.0690000000002,237.889,26.248
1107.431,272.655,30.382
1401.8730000000005,160.315,53.794
1434.533,281.90900000000005,57.984
1453.507,287.635,74.904
1427.402,353.51,18.927
1373.8000000000002,382.777,29.280999999999995
1133.1840000000002,302.1019999999999,42.667
1086.743,95.23399999999998,37.214
1436.0949999999998,86.956,43.099
1408.211,231.923,16.19
1434.062,77.024,30.36
1411.553,62.293000000000006,40.04200000000001
1402.006,39.97200000000001,38.665000000000006
1186.275,107.629,55.38
1072.0779999999995,80.68499999999999,32.054
1388.816,154.20600000000002,32.907
1433.1660000000002,61.690000000000005,83.002
1455.451,157.05900000000003,75.15699999999998
1412.1809999999998,150.182,44.725
1399.515,126.102,92.597
1153.1719999999998,216.614,59.99499999999999
1042.487,200.78799999999995,22.692
1347.4630000000002,194.24500000000003,37.298
1391.174,119.97999999999998,31.898999999999997
1403.8359999999998,65.82300000000001,56.3
1411.7500000000002,24.083,100.78
1365.107,74.49399999999999,111.971
1156.4900000000002,74.31,95.08599999999998
1062.4589999999998,162.956,58.994
1323.263,159.86799999999997,75.965
1377.97,145.134,109.88200000000002
1382.409,53.161,106.847
1390.429,40.73,116.147
